"","FIPS","State","County","PopDensity2010","Households","Pop2010","PCI","MetroNonMetro"
"928",29057,"MO","Dade",16.09,3117,7883,21538,"Nonmetro"
"929",29059,"MO","Dallas",31.02,6253,16777,22096,"Metro"
"930",29061,"MO","Daviess",14.97,2991,8433,24081,"Nonmetro"
"931",29063,"MO","DeKalb",30.6,3812,12892,19524,"Metro"
"932",29065,"MO","Dent",20.8,6300,15657,22581,"Nonmetro"
"933",29067,"MO","Douglas",16.82,5126,13684,19164,"Nonmetro"
"934",29069,"MO","Dunklin",59.06,12427,31953,19818,"Nonmetro"
"935",29071,"MO","Franklin",110,40780,101492,28773,"Metro"
"936",29073,"MO","Gasconade",29.4,6116,15222,27240,"Nonmetro"
"937",29075,"MO","Gentry",13.71,2601,6738,21059,"Nonmetro"
"938",29077,"MO","Greene",407.48,122026,275174,26378,"Metro"
"939",29079,"MO","Grundy",23.57,3985,10261,23249,"Nonmetro"
"940",29081,"MO","Harrison",12.4,3556,8957,20986,"Nonmetro"
"941",29083,"MO","Henry",31.96,9199,22272,25244,"Nonmetro"
"942",29085,"MO","Hickory",24.12,4020,9627,20646,"Nonmetro"
"943",29087,"MO","Holt",10.62,2056,4912,25517,"Nonmetro"
"944",29089,"MO","Howard",21.87,3559,10144,23328,"Nonmetro"
"945",29091,"MO","Howell",43.57,15922,40400,20873,"Nonmetro"
"946",29093,"MO","Iron",19.32,4156,10630,20696,"Nonmetro"
"947",29095,"MO","Jackson",1115.3,282653,674158,30237,"Metro"
"948",29097,"MO","Jasper",183.88,45261,117404,24086,"Metro"
"949",29099,"MO","Jefferson",333.12,84393,218733,28844,"Metro"
"950",29101,"MO","Johnson",63.42,19939,52595,24146,"Nonmetro"
"951",29103,"MO","Knox",8.2,1533,4131,22020,"Nonmetro"
"952",29105,"MO","Laclede",46.52,13866,35571,21577,"Nonmetro"
"953",29107,"MO","Lafayette",53.12,12959,33381,28056,"Metro"
"954",29109,"MO","Lawrence",63.15,14604,38634,22341,"Nonmetro"
"955",29111,"MO","Lewis",20.22,3766,10211,22602,"Nonmetro"
"956",29113,"MO","Lincoln",83.9,18738,52566,25472,"Metro"
"957",29115,"MO","Linn",20.73,5068,12761,24150,"Nonmetro"
"958",29117,"MO","Livingston",28.54,5882,15195,23083,"Nonmetro"
"959",29119,"MO","McDonald",42.79,8110,23083,20270,"Metro"
"960",29121,"MO","Macon",19.43,5889,15566,21118,"Nonmetro"
"961",29123,"MO","Madison",24.73,5002,12226,22119,"Nonmetro"
"962",29125,"MO","Maries",17.41,3645,9176,23729,"Nonmetro"
"963",29127,"MO","Marion",65.87,11500,28781,23589,"Nonmetro"
"964",29129,"MO","Mercer",8.34,1326,3785,22097,"Nonmetro"
"965",29131,"MO","Miller",41.76,9804,24748,23408,"Nonmetro"
"966",29133,"MO","Mississippi",34.88,5040,14358,18462,"Nonmetro"
"967",29135,"MO","Moniteau",37.6,5346,15607,22445,"Metro"
"968",29137,"MO","Monroe",13.65,3632,8840,24625,"Nonmetro"
"969",29139,"MO","Montgomery",22.82,4891,12236,22980,"Nonmetro"
"970",29141,"MO","Morgan",34.41,7755,20565,21265,"Nonmetro"
"971",29143,"MO","New Madrid",28.09,7312,18956,20638,"Nonmetro"
"972",29145,"MO","Newton",93.02,22268,58114,26996,"Metro"
"973",29147,"MO","Nodaway",26.65,8275,23370,22151,"Nonmetro"
"974",29149,"MO","Oregon",13.78,4307,10881,18103,"Nonmetro"
"975",29151,"MO","Osage",22.96,5113,13878,26037,"Metro"
"976",29153,"MO","Ozark",13.05,4144,9723,18818,"Nonmetro"
"977",29155,"MO","Pemiscot",37.15,6845,18296,19876,"Nonmetro"
"978",29157,"MO","Perry",39.99,7605,18971,24710,"Nonmetro"
"979",29159,"MO","Pettis",61.86,15921,42201,22897,"Nonmetro"
"980",29161,"MO","Phelps",67.22,17601,45156,24304,"Nonmetro"
"981",29163,"MO","Pike",27.62,6650,18516,22302,"Nonmetro"
"982",29165,"MO","Platte",212.58,38613,89322,39427,"Metro"
"983",29167,"MO","Polk",48.99,11557,31137,22575,"Metro"
"984",29169,"MO","Pulaski",95.55,15026,52274,22018,"Nonmetro"
"985",29171,"MO","Putnam",9.62,1803,4979,22607,"Nonmetro"
"986",29173,"MO","Ralls",21.64,4004,10167,26536,"Nonmetro"
"987",29175,"MO","Randolph",52.65,8347,25414,20836,"Nonmetro"
"988",29177,"MO","Ray",41.3,8785,23494,27768,"Metro"
"989",29179,"MO","Reynolds",8.28,2638,6696,22693,"Nonmetro"
"990",29181,"MO","Ripley",22.4,5154,14100,17502,"Nonmetro"
"991",29183,"MO","St. Charles",643.22,144643,360485,37229,"Metro"
"992",29185,"MO","St. Clair",14.63,4126,9805,22672,"Nonmetro"
"993",29186,"MO","Ste. Genevieve",36.35,7134,18145,28578,"Nonmetro"
"994",29187,"MO","St. Francois",144.64,24910,65359,22575,"Nonmetro"
"995",29189,"MO","St. Louis",1967.22,403547,998954,39784,"Metro"
"996",29195,"MO","Saline",30.93,8562,23370,22802,"Nonmetro"
"997",29197,"MO","Schuyler",14.42,1588,4431,19316,"Nonmetro"
"998",29199,"MO","Scotland",11.09,1820,4843,23809,"Nonmetro"
"999",29201,"MO","Scott",93.31,15428,39191,23185,"Nonmetro"
"1000",29203,"MO","Shannon",8.41,3173,8441,18066,"Nonmetro"
"1001",29205,"MO","Shelby",12.72,2459,6373,23501,"Nonmetro"
"1002",29207,"MO","Stoddard",36.4,11684,29968,22205,"Nonmetro"
"1003",29209,"MO","Stone",69.4,12841,32202,27792,"Nonmetro"
"1004",29211,"MO","Sullivan",10.36,2174,6714,21661,"Nonmetro"
"1005",29213,"MO","Taney",81.71,22366,51675,22106,"Nonmetro"
"1006",29215,"MO","Texas",22.09,9579,26008,19485,"Nonmetro"
"1007",29217,"MO","Vernon",25.6,8170,21159,24388,"Nonmetro"
"1008",29219,"MO","Warren",75.86,12232,32513,27523,"Metro"
"1009",29221,"MO","Washington",33.16,9114,25195,18915,"Nonmetro"
"1010",29223,"MO","Wayne",17.81,5448,13521,18759,"Nonmetro"
"1011",29225,"MO","Webster",61.09,13496,36202,21682,"Metro"
"1012",29227,"MO","Worth",8.14,856,2171,24159,"Nonmetro"
"1013",29229,"MO","Wright",27.6,7292,18815,19909,"Nonmetro"
"1014",29510,"MO","St. Louis",5157.49,140455,319294,28478,"Metro"
"1015",34001,"NJ","Atlantic",494.06,99874,274549,31366,"Metro"
"1016",34003,"NJ","Bergen",3884.47,338249,905116,48426,"Metro"
"1017",34005,"NJ","Burlington",561.92,165496,448734,41517,"Metro"
"1018",34007,"NJ","Camden",2321.48,187158,513657,34280,"Metro"
"1019",34009,"NJ","Cape May",386.86,39904,97265,38496,"Metro"
"1020",34011,"NJ","Cumberland",324.37,50608,156898,23946,"Metro"
"1021",34013,"NJ","Essex",6211.51,282502,783969,37141,"Metro"
"1022",34015,"NJ","Gloucester",895.29,104587,288288,37888,"Metro"
"1023",34017,"NJ","Hudson",13731.37,255429,634266,38147,"Metro"
"1024",34019,"NJ","Hunterdon",300.01,47180,128349,54984,"Metro"
"1025",34021,"NJ","Mercer",1632.16,129873,366513,42155,"Metro"
"1026",34023,"NJ","Middlesex",2621.63,284174,809858,38140,"Metro"
"1027",34025,"NJ","Monmouth",1344.69,233874,630380,48959,"Metro"
"1028",34027,"NJ","Morris",1069.75,180896,492276,55826,"Metro"
"1029",34029,"NJ","Ocean",916.96,225270,576567,34784,"Metro"
"1030",34031,"NJ","Passaic",2715.31,163670,501226,30800,"Metro"
"1031",34033,"NJ","Salem",199.11,23908,66083,32526,"Metro"
"1032",34035,"NJ","Somerset",1071.67,117012,323444,54393,"Metro"
"1033",34037,"NJ","Sussex",287.59,53361,149265,42639,"Metro"
"1034",34039,"NJ","Union",5216.07,188987,536499,40201,"Metro"
