"","FIPS","State","County","PopDensity2010","Households","Pop2010","PCI","MetroNonMetro","Date","Cases","Deaths","DateAsInteger","Impact"
"132",1011,"AL","Bullock",17.52,3609,10914,20346,"Nonmetro",2020-04-16,8,0,18368,"Low"
"133",1011,"AL","Bullock",17.52,3609,10914,20346,"Nonmetro",2020-04-14,8,0,18366,"Low"
"134",1011,"AL","Bullock",17.52,3609,10914,20346,"Nonmetro",2020-04-20,11,0,18372,"Low"
"135",1011,"AL","Bullock",17.52,3609,10914,20346,"Nonmetro",2020-04-18,9,0,18370,"Low"
"136",1011,"AL","Bullock",17.52,3609,10914,20346,"Nonmetro",2020-04-15,8,0,18367,"Low"
"137",1011,"AL","Bullock",17.52,3609,10914,20346,"Nonmetro",2020-04-17,8,0,18369,"Low"
"138",1013,"AL","Butler",26.96,6708,20947,20430,"Nonmetro",2020-04-11,6,0,18363,"Low"
"139",1013,"AL","Butler",26.96,6708,20947,20430,"Nonmetro",2020-04-12,7,0,18364,"Low"
"140",1013,"AL","Butler",26.96,6708,20947,20430,"Nonmetro",2020-04-16,11,0,18368,"Low"
"141",1013,"AL","Butler",26.96,6708,20947,20430,"Nonmetro",2020-04-13,8,0,18365,"Low"
"142",1013,"AL","Butler",26.96,6708,20947,20430,"Nonmetro",2020-04-19,14,0,18371,"Low"
"143",1013,"AL","Butler",26.96,6708,20947,20430,"Nonmetro",2020-04-22,17,0,18374,"Low"
"144",1013,"AL","Butler",26.96,6708,20947,20430,"Nonmetro",2020-04-21,15,0,18373,"Low"
"145",1013,"AL","Butler",26.96,6708,20947,20430,"Nonmetro",2020-04-17,16,0,18369,"Low"
"146",1013,"AL","Butler",26.96,6708,20947,20430,"Nonmetro",2020-04-14,8,0,18366,"Low"
"147",1013,"AL","Butler",26.96,6708,20947,20430,"Nonmetro",2020-04-15,11,0,18367,"Low"
"148",1013,"AL","Butler",26.96,6708,20947,20430,"Nonmetro",2020-04-18,13,0,18370,"Low"
"149",1013,"AL","Butler",26.96,6708,20947,20430,"Nonmetro",2020-04-23,19,0,18375,"Low"
"150",1013,"AL","Butler",26.96,6708,20947,20430,"Nonmetro",2020-04-20,14,0,18372,"Low"
"151",1013,"AL","Butler",26.96,6708,20947,20430,"Nonmetro",2020-04-24,21,0,18376,"Low"
"152",1015,"AL","Calhoun",195.71,45033,118572,24706,"Metro",2020-03-31,9,0,18352,"Low"
"153",1015,"AL","Calhoun",195.71,45033,118572,24706,"Metro",2020-03-30,9,0,18351,"Low"
"154",1015,"AL","Calhoun",195.71,45033,118572,24706,"Metro",2020-04-17,63,2,18369,"Low"
